IncomeLevel,PropertyAge,TotalRooms,TotalBedrooms,NeighborhoodPop,AvgOccupancy,Latitude,Longitude,TargetPrice,PropertyID,RoomsPerHousehold,BedroomsRatio
3.2879766922848526,32.970197907149846,5.128150091535306,0.9907691828716098,2339.474039393327,3.7391127224840397,32.71,-117.03,1.03,PROP_14196,1.3591304347826085,0.20057581573896352
3.8046011239471844,49.03019187163167,4.3726958669146265,1.0404690040378797,1269.3835959286614,1.4295755523458036,33.77,-118.16,3.821,PROP_08267,2.573820395738204,0.232702542874039
4.193301680404492,,5.718626076184479,0.98980913049085,865.4361040702651,2.4812185061912744,34.66,-120.48,1.726,PROP_17445,2.073224043715847,0.17448603057459147
2.02950889498302,36.25561710444242,4.131417891273872,1.032284608650245,1455.381922858662,3.914447014113543,32.69,-117.11,0.934,PROP_14265,1.0021156558533146,0.25826882477128776
3.5408230945470285,42.9185336447234,6.270531424120834,1.147146202346012,895.0506276430718,2.6819685745678608,36.78,-119.8,0.965,PROP_02271,2.7254004576659043,0.1809403862300588
6.6093240324750555,20.21284834325865,6.1781030439400775,0.9861818839104548,2698.088188699452,3.4574479583705524,37.42,-121.86,2.648,PROP_17848,1.867161410018553,0.16057233704292528
2.60941856100995,27.94533536075272,4.404709956090186,1.0992245524926036,1343.610245963255,3.2347319995886132,34.04,-117.97,1.573,PROP_06252,1.2442804428044278,0.24733096085409254
8.033042638720604,37.68936640413972,6.128236414785033,0.9366245852237707,1015.055284603087,2.170975264634018,37.91,-122.53,5.00001,PROP_09389,2.526526526526526,0.1576862123613312
1.4731794834020058,5.030515840663641,3.6106085159264762,1.0013897980359179,825.442234267858,1.8823868766583125,34.13,-117.9,1.398,PROP_06113,1.3748473748473746,0.2806394316163411
6.457595813808726,5.88496865586674,6.645003381879994,1.024767280881628,9437.214893423545,3.5509253384797113,34.02,-117.79,3.156,PROP_06061,1.982603161132916,0.15313001605136436
4.190225495119125,52.13308677546125,5.81301296073546,1.1436304739535468,650.6941420095136,3.745861806164693,37.72,-122.45,2.319,PROP_16030,1.5038284839203675,0.20061099796334014
2.203693409821635,24.91921400788212,3.186676081398531,1.0768213799740658,1728.2526325146207,3.038818303773687,33.97,-118.35,1.594,PROP_08364,1.0900584795321637,0.3304721030042918
2.8888230184969546,,6.518718207983197,1.2215443612265668,781.3264014303303,3.487935217699789,37.46,-119.72,0.96,PROP_09448,2.6653333333333338,0.1875937968984492
1.9878965617383675,,3.1242560439624203,1.09166570967666,3591.8351420939152,5.479124418817876,37.33,-121.88,1.875,PROP_17529,0.5346812693063747,0.36186974789915966
2.7139574836389437,45.62516047759301,4.603228711427016,1.0019115735665658,729.5978333658996,2.4948181842487913,34.18,-118.34,2.299,PROP_05865,1.950980392156863,0.21608040201005022
3.1345771782600678,,5.119489896950411,0.9981876154390089,1871.8741648625441,3.422755108002377,33.89,-118.23,1.177,PROP_07615,1.3878205128205128,0.19784449576597382
2.83453815558905,52.149271571545036,5.340557412719281,1.045814539549078,1184.163152535995,2.6047860081637033,36.67,-121.65,1.696,PROP_09707,2.011120615911035,0.19523606975754998
4.424252578569249,19.801070037561068,5.8876216107626975,1.0678359040327314,2111.764997046047,2.562369589173128,38.03,-121.34,1.308,PROP_16332,2.0342829550941577,0.17825777355803465
4.181125658143426,34.070672441762106,5.031196886231875,0.970637168179849,1942.730268568232,3.280110490375226,34.32,-118.43,1.574,PROP_03449,1.3639630390143738,0.1938276251411366
1.3522167593421806,21.484683944443663,3.0025142472325417,1.0085832912526547,1273.7057383829351,4.004924848224968,33.93,-118.28,0.941,PROP_05199,0.6601714731098987,0.32821723730814645
2.2772307812979102,30.96680185916198,4.709873515864633,1.0822218572753923,1065.8367113686002,2.7551003585856226,34.16,-117.34,0.727,PROP_13496,1.5309818875119163,0.22042341220423411
8.529601666893768,35.786077128369854,7.3806171083294965,1.0038303101399544,1350.1850916166716,2.8646379663217787,37.24,-121.98,5.00001,PROP_18056,2.697358490566038,0.13570229434806938
2.720957806493656,21.55545528645707,6.130119821597356,1.2128330788219008,1044.5719435834972,2.8185664277508593,38.94,-123.15,0.958,PROP_09529,2.063931297709924,0.20157189089227923
1.4936058206344942,42.94306812787435,3.9605186385946554,0.9884534335569919,1115.367639206444,3.4605991738902895,33.98,-118.28,0.975,PROP_05128,1.1272727272727272,0.25161290322580643
2.2272000585842147,17.79609927688592,7.087548814548582,1.5255519242857,218.33524655318686,2.1520129694953103,40.89,-122.31,0.788,PROP_18796,3.052631578947368,0.21352785145888595
5.423436876403771,52.35406971688644,6.729967280708741,1.0969303977049034,721.6259764104765,2.4129938820157473,37.89,-122.28,2.92,PROP_00413,2.8670360110803323,0.15893719806763285
0.7594450977683013,14.153190822873828,4.966793264976229,1.3698653911060887,197.97329210071027,3.6571994499235165,39.48,-121.57,0.425,PROP_01175,1.393103448275862,0.26732673267326734
